序号,时间,地市,流量
1,2017/1/1 00:00,A,0.781318808
2,2017/1/1 01:00,A,0.500109195
3,2017/1/1 02:00,A,0.314532205
4,2017/1/1 03:00,A,0.19490889
5,2017/1/1 04:00,A,0.153005783
6,2017/1/1 05:00,A,0.173709845
7,2017/1/1 06:00,A,0.286545663
8,2017/1/1 07:00,A,0.535707697
9,2017/1/1 08:00,A,0.736105945
10,2017/1/1 09:00,A,0.915097665
11,2017/1/1 10:00,A,1.037008813
12,2017/1/1 11:00,A,1.071416254
13,2017/1/1 12:00,A,1.053922968
14,2017/1/1 13:00,A,1.041325906
15,2017/1/1 14:00,A,1.027575986
16,2017/1/1 15:00,A,1.014625699
17,2017/1/1 16:00,A,0.989818109
18,2017/1/1 17:00,A,0.978035651
19,2017/1/1 18:00,A,1.051814816
20,2017/1/1 19:00,A,1.142402402
21,2017/1/1 20:00,A,1.164344662
22,2017/1/1 21:00,A,1.112324249
23,2017/1/1 22:00,A,1.065010233
24,2017/1/1 23:00,A,1.117979623
25,2017/1/2 00:00,A,0.807671249
26,2017/1/2 01:00,A,0.508624841
27,2017/1/2 02:00,A,0.304787729
28,2017/1/2 03:00,A,0.192678787
29,2017/1/2 04:00,A,0.139962732
30,2017/1/2 05:00,A,0.150005365
31,2017/1/2 06:00,A,0.179311908
32,2017/1/2 07:00,A,0.429062909
33,2017/1/2 08:00,A,0.590598291
34,2017/1/2 09:00,A,0.758681332
35,2017/1/2 10:00,A,0.877175992
36,2017/1/2 11:00,A,0.930950421
37,2017/1/2 12:00,A,1.015794781
38,2017/1/2 13:00,A,0.975732886
39,2017/1/2 14:00,A,0.970193079
40,2017/1/2 15:00,A,0.980992679
41,2017/1/2 16:00,A,0.972330035
42,2017/1/2 17:00,A,0.949827625
43,2017/1/2 18:00,A,0.984173221
44,2017/1/2 19:00,A,1.075022562
45,2017/1/2 20:00,A,1.109131201
46,2017/1/2 21:00,A,1.140255209
47,2017/1/2 22:00,A,1.137156769
48,2017/1/2 23:00,A,1.200913876
49,2017/1/3 00:00,A,0.644728629
50,2017/1/3 01:00,A,0.488558322
51,2017/1/3 02:00,A,0.278548328
52,2017/1/3 03:00,A,0.175342282
53,2017/1/3 04:00,A,0.127477905
54,2017/1/3 05:00,A,0.141767062
55,2017/1/3 06:00,A,0.241584433
56,2017/1/3 07:00,A,0.429749698
57,2017/1/3 08:00,A,0.603909631
58,2017/1/3 09:00,A,0.740702673
59,2017/1/3 10:00,A,0.872964816
60,2017/1/3 11:00,A,0.917634894
61,2017/1/3 12:00,A,1.044202402
62,2017/1/3 13:00,A,0.921061496
63,2017/1/3 14:00,A,0.895010287
64,2017/1/3 15:00,A,0.922389722
65,2017/1/3 16:00,A,0.943936292
66,2017/1/3 17:00,A,0.923822025
67,2017/1/3 18:00,A,0.961960153
68,2017/1/3 19:00,A,1.013812067
69,2017/1/3 20:00,A,1.044174487
70,2017/1/3 21:00,A,1.039509232
71,2017/1/3 22:00,A,1.046245093
72,2017/1/3 23:00,A,1.090316934
73,2017/1/4 00:00,A,0.779349548
74,2017/1/4 01:00,A,
75,2017/1/4 02:00,A,0.25728331
76,2017/1/4 03:00,A,0.160092014
77,2017/1/4 04:00,A,0.125774646
78,2017/1/4 05:00,A,0.148380621
79,2017/1/4 06:00,A,0.251941479
80,2017/1/4 07:00,A,0.459623334
81,2017/1/4 08:00,A,0.587913065
82,2017/1/4 09:00,A,0.738073969
83,2017/1/4 10:00,A,0.880743179
84,2017/1/4 11:00,A,0.949218375
85,2017/1/4 12:00,A,1.081230881
86,2017/1/4 13:00,A,0.933202203
87,2017/1/4 14:00,A,0.908652344
88,2017/1/4 15:00,A,0.956400925
89,2017/1/4 16:00,A,0.957016248
90,2017/1/4 17:00,A,0.964421268
91,2017/1/4 18:00,A,0.993432251
92,2017/1/4 19:00,A,1.070134415
93,2017/1/4 20:00,A,1.109592184
94,2017/1/4 21:00,A,1.131335037
95,2017/1/4 22:00,A,1.128227585
96,2017/1/4 23:00,A,1.162570355
97,2017/1/5 00:00,A,0.836411014
98,2017/1/5 01:00,A,0.46089903
99,2017/1/5 02:00,A,0.266981223
100,2017/1/5 03:00,A,0.169300238
101,2017/1/5 04:00,A,0.133458044
102,2017/1/5 05:00,A,0.163530658
103,2017/1/5 06:00,A,0.286362823
104,2017/1/5 07:00,A,0.518220322
105,2017/1/5 08:00,A,0.692527377
106,2017/1/5 09:00,A,0.832048764
107,2017/1/5 10:00,A,0.971471259
108,2017/1/5 11:00,A,1.048189993
109,2017/1/5 12:00,A,1.200232025
110,2017/1/5 13:00,A,1.031390811
111,2017/1/5 14:00,A,0.986018625
112,2017/1/5 15:00,A,1.006369598
113,2017/1/5 16:00,A,1.021310483
114,2017/1/5 17:00,A,1.01433717
115,2017/1/5 18:00,A,1.079829938
116,2017/1/5 19:00,A,1.138128531
117,2017/1/5 20:00,A,1.150945029
118,2017/1/5 21:00,A,1.162812646
119,2017/1/5 22:00,A,1.17901666
120,2017/1/5 23:00,A,1.226468225
121,2017/1/6 00:00,A,0.920851865
122,2017/1/6 01:00,A,0.56798555
123,2017/1/6 02:00,A,0.33055166
124,2017/1/6 03:00,A,0.20753237
125,2017/1/6 04:00,A,0.14855733
126,2017/1/6 05:00,A,0.156126184
127,2017/1/6 06:00,A,0.275379712
128,2017/1/6 07:00,A,0.49883121
129,2017/1/6 08:00,A,0.661029724
130,2017/1/6 09:00,A,0.826911288
131,2017/1/6 10:00,A,0.952184348
132,2017/1/6 11:00,A,1.01222962
133,2017/1/6 12:00,A,1.113715219
134,2017/1/6 13:00,A,0.992636154
135,2017/1/6 14:00,A,0.974664166
136,2017/1/6 15:00,A,1.024145618
137,2017/1/6 16:00,A,1.046543796
138,2017/1/6 17:00,A,1.054487421
139,2017/1/6 18:00,A,1.100776004
140,2017/1/6 19:00,A,1.165641751
141,2017/1/6 20:00,A,1.175492056
142,2017/1/6 21:00,A,1.177533231
143,2017/1/6 22:00,A,1.14243208
144,2017/1/6 23:00,A,1.064195325
145,2017/1/7 00:00,A,0.842507086
146,2017/1/7 01:00,A,0.535564783
147,2017/1/7 02:00,A,0.326950958
148,2017/1/7 03:00,A,0.209343784
149,2017/1/7 04:00,A,0.159504364
150,2017/1/7 05:00,A,0.165511591
151,2017/1/7 06:00,A,0.269822992
152,2017/1/7 07:00,A,0.484821704
153,2017/1/7 08:00,A,0.667955701
154,2017/1/7 09:00,A,0.871334094
155,2017/1/7 10:00,A,1.003526767
156,2017/1/7 11:00,A,1.069304541
157,2017/1/7 12:00,A,1.172733508
158,2017/1/7 13:00,A,1.099382617
159,2017/1/7 14:00,A,1.050388165
160,2017/1/7 15:00,A,1.046876218
161,2017/1/7 16:00,A,
162,2017/1/7 17:00,A,1.02720159
163,2017/1/7 18:00,A,1.073276981
164,2017/1/7 19:00,A,1.140454465
165,2017/1/7 20:00,A,1.146328287
166,2017/1/7 21:00,A,1.141621719
167,2017/1/7 22:00,A,1.107793677
168,2017/1/7 23:00,A,1.056468805
169,2017/1/8 00:00,A,0.869092056
170,2017/1/8 01:00,A,0.561550223
171,2017/1/8 02:00,A,0.337066635
172,2017/1/8 03:00,A,0.212207474
173,2017/1/8 04:00,A,0.155163544
174,2017/1/8 05:00,A,0.155623492
175,2017/1/8 06:00,A,0.247837277
176,2017/1/8 07:00,A,0.444679092
177,2017/1/8 08:00,A,0.601029651
178,2017/1/8 09:00,A,0.790637143
179,2017/1/8 10:00,A,0.910839743
180,2017/1/8 11:00,A,0.981060226
181,2017/1/8 12:00,A,1.070457086
182,2017/1/8 13:00,A,1.020724945
183,2017/1/8 14:00,A,0.986051407
184,2017/1/8 15:00,A,0.988274921
185,2017/1/8 16:00,A,0.978736166
186,2017/1/8 17:00,A,0.954810803
187,2017/1/8 18:00,A,0.992610883
188,2017/1/8 19:00,A,1.054717935
